2024-08-10 at 22:00:27 | WARNING | Ответ не получен. Статус-код недоступен.
2024-08-10 at 22:03:00 | WARNING | Ответ не получен. HTML-код не сохранен.
2024-08-10 at 22:03:00 | WARNING | Ответ не получен. Статус-код недоступен.
2024-08-10 at 22:03:20 | WARNING | Ответ не получен. HTML-код не сохранен.
2024-08-10 at 22:03:20 | WARNING | Ответ не получен. Статус-код недоступен.
2024-08-10 at 22:04:23 | INFO | Отправка запроса на https://habr.com/ru/sandbox/195274/
2024-08-10 at 22:04:23 | INFO | Запрос выполнен успешно
2024-08-10 at 22:05:49 | INFO | Отправка запроса на https://habr.com/ru/sandbox/195274/
2024-08-10 at 22:05:49 | INFO | Запрос выполнен успешно
2024-08-10 at 22:06:11 | INFO | Отправка запроса на https://habr.com/ru/sandbox/195274/
2024-08-10 at 22:06:11 | INFO | Запрос выполнен успешно
2024-08-10 at 22:13:16 | INFO | Отправка запроса на https://habr.com/ru/sandbox/195274/
2024-08-10 at 22:13:16 | INFO | Запрос выполнен успешно
2024-08-10 at 22:13:16 | INFO | HTML-код сохранен в https://habr.com/ru/sandbox/195274/
2024-08-10 at 22:14:16 | INFO | Отправка запроса на https://habr.com/ru/sandbox/195274/
2024-08-10 at 22:14:16 | INFO | Запрос выполнен успешно
2024-08-10 at 22:15:35 | INFO | Отправка запроса на https://habr.com/ru/sandbox/195274/
2024-08-10 at 22:15:38 | INFO | Запрос выполнен успешно
2024-08-10 at 22:23:04 | INFO | Отправка запроса на https://habr.com/ru/sandbox/195274/
2024-08-10 at 22:23:04 | INFO | Запрос выполнен успешно
2024-08-10 at 22:25:34 | INFO | Отправка запроса на https://habr.com/ru/sandbox/195274/
2024-08-10 at 22:25:34 | INFO | Запрос выполнен успешно
2024-08-10 at 22:28:10 | INFO | Отправка запроса на https://habr.com/ru/sandbox/195274/
2024-08-10 at 22:28:13 | INFO | Запрос выполнен успешно
2024-08-10 at 22:28:13 | INFO | HTML-код сохранен в https://habr.com/ru/sandbox/195274/
