Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config
Google Chrome,Application,Render,Razer Kraken Kitty Edition,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{1ca65b29-d2bc-4694-aef1-4c5b2b26b959}|\Device\HarddiskVolume3\Program Files\Google\Chrome\Application\chrome.exe%b{00000000-0000-0000-0000-000000000000}|25%b195360,Razer Kraken Kitty Edition\Application\Google Chrome,C:\Program Files\Google\Chrome\Application\chrome.exe,195360,,,
NVIDIA Container,Application,Render,Razer Kraken Kitty Edition,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{1ca65b29-d2bc-4694-aef1-4c5b2b26b959}|\Device\HarddiskVolume3\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe%b{00000000-0000-0000-0000-000000000000}|25%b190984,Razer Kraken Kitty Edition\Application\NVIDIA Container,C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe,190984,,,
Razer Synapse 3,Application,Render,Razer Kraken Kitty Edition,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{1ca65b29-d2bc-4694-aef1-4c5b2b26b959}|\Device\HarddiskVolume3\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe%b{00000000-0000-0000-0000-000000000000}|25%b192756,Razer Kraken Kitty Edition\Application\Razer Synapse 3,C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe,192756,Razer Synapse,,
Razer Synapse 3,Application,Render,Razer Kraken Kitty Edition,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{1ca65b29-d2bc-4694-aef1-4c5b2b26b959}|#%b{D9C7B4F1-0744-446C-870E-87CE4AE4FA23}|25%b#,Razer Kraken Kitty Edition\Application\Razer Synapse 3,C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe,192756,Razer Synapse,,
Razer Synapse 3,Application,Render,Razer Kraken Kitty Edition,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{1ca65b29-d2bc-4694-aef1-4c5b2b26b959}|#%b{2B85A202-0245-4733-9B6D-2D152BF788A6}|25%b#,Razer Kraken Kitty Edition\Application\Razer Synapse 3,C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe,192756,Razer Synapse,,
RazerRemotePlayHost.exe,Application,Render,VB-Audio Virtual Cable,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{15715ad3-9de7-4ac2-91c7-1c44a142fb21}|\Device\HarddiskVolume3\Users\aboby\AppData\Local\Razer\Razer Cortex\RemotePlay\Host\RazerRemotePlayHost.exe%b{00000000-0000-0000-0000-000000000000}|25%b181568,VB-Audio Virtual Cable\Application\RazerRemotePlayHost.exe,RazerRemotePlayHost.exe,181568,,,
RazerRemotePlayHost.exe,Application,Render,Razer Remote Play Speaker,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{d2b7b709-7874-4e3f-a9a4-1d322e02b17c}|\Device\HarddiskVolume3\Users\aboby\AppData\Local\Razer\Razer Cortex\RemotePlay\Host\RazerRemotePlayHost.exe%b{00000000-0000-0000-0000-000000000000}|25%b181568,Razer Remote Play Speaker\Application\RazerRemotePlayHost.exe,RazerRemotePlayHost.exe,181568,,,
RazerRemotePlayHost.exe,Application,Render,NVIDIA High Definition Audio,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{2164eb2a-14fe-48bd-b664-aa7a1970bf94}|\Device\HarddiskVolume3\Users\aboby\AppData\Local\Razer\Razer Cortex\RemotePlay\Host\RazerRemotePlayHost.exe%b{00000000-0000-0000-0000-000000000000}|25%b181568,NVIDIA High Definition Audio\Application\RazerRemotePlayHost.exe,RazerRemotePlayHost.exe,181568,,,
RazerRemotePlayHost.exe,Application,Render,VB-Audio Virtual Cable,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{f883401c-59ee-4abb-a5f6-47fb4d02801d}|\Device\HarddiskVolume3\Users\aboby\AppData\Local\Razer\Razer Cortex\RemotePlay\Host\RazerRemotePlayHost.exe%b{00000000-0000-0000-0000-000000000000}|25%b181568,VB-Audio Virtual Cable\Application\RazerRemotePlayHost.exe,RazerRemotePlayHost.exe,181568,,,
RazerRemotePlayHost.exe,Application,Render,Razer Kraken Kitty Edition,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{1ca65b29-d2bc-4694-aef1-4c5b2b26b959}|\Device\HarddiskVolume3\Users\aboby\AppData\Local\Razer\Razer Cortex\RemotePlay\Host\RazerRemotePlayHost.exe%b{00000000-0000-0000-0000-000000000000}|25%b181568,Razer Kraken Kitty Edition\Application\RazerRemotePlayHost.exe,RazerRemotePlayHost.exe,181568,,,
RazerRemotePlayHost.exe,Application,Render,Realtek(R) Audio,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{003a1390-a009-4082-96b4-5aaee6d57b66}|\Device\HarddiskVolume3\Users\aboby\AppData\Local\Razer\Razer Cortex\RemotePlay\Host\RazerRemotePlayHost.exe%b{00000000-0000-0000-0000-000000000000}|25%b181568,Realtek(R) Audio\Application\RazerRemotePlayHost.exe,RazerRemotePlayHost.exe,181568,,,
RazerRemotePlayHost.exe,Application,Render,THX Spatial,,,,Inactive,No,,10.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{7520e781-7765-41dc-8e04-422bc2aabbbe}|\Device\HarddiskVolume3\Users\aboby\AppData\Local\Razer\Razer Cortex\RemotePlay\Host\RazerRemotePlayHost.exe%b{00000000-0000-0000-0000-000000000000}|25%b181568,THX Spatial\Application\RazerRemotePlayHost.exe,RazerRemotePlayHost.exe,181568,,,
Sidetone,Subunit,Render,Razer Kraken Kitty Edition,,,,,No,,100.0%,-64.00 dB,-22.00 dB,1.00 dB,1,-22.00 dB,100.0%,{2}.\\?\usb#vid_1532&pid_0521&mi_00#7&2417eb91&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020002,Razer Kraken Kitty Edition\Subunit\Sidetone,,,,,
Sidetone,Subunit,Render,Razer Kraken Kitty Edition,,,,,No,,9.5%,-64.00 dB,0.00 dB,1.00 dB,2,"-20.41 dB, -20.41 dB","9.5%, 9.5%",{2}.\\?\usb#vid_1532&pid_0521&mi_00#7&2417eb91&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/0002000b,Razer Kraken Kitty Edition\Subunit\Sidetone,,,,,
System Sounds,Application,Capture,Voicemod Virtual Audio Device (WDM),,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{022f7d02-e62f-44d3-b6bb-5bd18eef4f0d}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,Voicemod Virtual Audio Device (WDM)\Application\System Sounds,,,,,
System Sounds,Application,Render,VB-Audio Virtual Cable,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{f883401c-59ee-4abb-a5f6-47fb4d02801d}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,VB-Audio Virtual Cable\Application\System Sounds,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{3e6fa5f1-db64-40f6-9b4f-20900a8c181e}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,Realtek(R) Audio\Application\System Sounds,,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{e7c6586b-1324-4733-b764-0569667d4cf5}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,Realtek(R) Audio\Application\System Sounds,,,,,
System Sounds,Application,Render,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{e77cf56d-b618-41d4-bdff-6562c7d083dc}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,
